,0
0,30.050436
1,26.867071
2,28.571707
3,28.6462
4,31.835726
5,26.112686
6,28.08253
7,26.643787
8,20.768894
9,26.642534
10,26.760725
11,27.502062
12,35.043972
13,26.34283
14,28.750185
15,30.757683
16,32.849293
17,28.871357
18,28.79869
19,21.213465
20,25.068903
21,29.646261
22,25.634085
23,26.11759
24,26.059113
25,33.417347
26,31.23685
27,26.253738
28,29.201298
29,21.584696
30,23.67744
31,21.781204
32,20.50164
33,24.936543
34,24.401566
35,28.17506
36,27.025232
37,27.480799
38,29.452724
39,22.52663
40,30.39995
41,30.32164
42,27.660177
43,27.51275
44,26.640446
45,28.88296
46,26.678392
47,27.248005
48,30.274061
49,26.931656
50,23.053772
51,23.032225
52,21.095314
53,24.122831
54,29.464483
55,24.759706
56,21.744034
57,28.78303
58,28.975187
59,24.214758
60,26.134802
61,27.699158
62,24.067093
63,26.31678
64,30.99302
65,27.404295
66,25.082031
67,31.94244
68,27.31088
69,26.108767
70,27.309568
71,24.616705
72,25.012547
73,28.705748
74,28.958084
75,27.604399
76,30.153685
77,27.657433
78,29.50016
79,32.143246
80,30.508982
81,28.91688
82,32.37011
83,29.261236
84,26.893974
85,30.312761
86,29.869566
87,26.873335
88,30.316261
89,31.766249
90,27.671864
91,32.944862
92,27.59919
93,24.39547
94,29.711529
95,28.419514
96,26.832514
97,28.091923
98,26.41266
99,24.945597
100,30.920647
101,24.876392
102,28.210808
103,27.686253
104,25.427938
105,27.716196
106,27.7615
107,28.962885
108,30.863783
109,27.417576
110,27.281136
111,30.82527
112,32.2143
113,27.897423
114,27.695839
115,33.27059
116,28.439617
117,30.955538
118,30.414352
119,22.679916
120,29.136675
121,33.188503
122,26.428665
123,31.1778
124,30.012178
125,32.21533
126,33.856762
127,28.034609
128,25.420422
129,31.689833
130,32.414062
131,25.04912
132,29.199226
133,25.963646
134,33.588947
135,27.734137
136,28.130007
137,31.36656
138,23.892809
139,29.228117
140,27.27877
141,28.932558
142,28.827251
143,27.032097
144,29.010105
145,32.449974
146,27.015121
147,20.585009
148,22.84895
149,23.552734
150,27.792528
151,28.658777
152,25.6438
153,30.928885
154,34.599052
155,29.622671
156,26.279413
157,27.341412
158,23.3007
159,23.57376
160,25.355967
161,24.226683
162,26.268036
163,26.881317
164,27.438858
165,30.345911
166,27.014248
167,27.266031
168,25.742998
169,28.670557
170,30.288982
171,29.081293
172,29.09964
173,28.349445
174,26.853918
175,27.114044
176,28.091349
177,28.524801
178,30.38102
179,31.208487
180,27.969707
181,28.16586
182,29.637161
183,25.997301
184,30.54032
185,29.491074
186,26.215263
187,27.564306
188,27.051214
189,25.347536
190,29.182014
191,26.661703
192,25.018032
193,25.998707
194,27.036835
195,27.143766
196,25.086048
197,27.652388
198,28.102728
199,26.253677
200,27.260763
201,26.4656
202,22.165339
203,23.25321
204,24.847462
205,26.073528
206,28.829044
207,24.207844
208,24.917395
209,27.725458
210,25.90375
211,29.153347
212,28.668028
213,22.175385
214,30.378944
215,33.073708
216,28.98948
217,28.593355
218,26.3883
219,21.965517
220,24.649471
221,24.484074
222,27.69973
223,28.45393
224,27.375797
225,26.425
226,27.182402
227,26.602459
228,26.253136
229,26.826506
230,27.186756
231,24.631758
232,25.569508
233,28.04708
234,24.270058
235,23.63265
236,26.899683
237,27.03959
238,27.506344
239,24.879204
240,28.751701
241,29.873941
242,27.650126
243,24.77191
244,24.871988
245,23.954462
246,31.484964
247,30.786371
248,25.532536
249,34.422997
250,30.286486
251,25.206448
252,26.123188
253,27.614834
254,27.607887
255,28.37556
256,24.391752
257,28.224802
258,26.818386
259,27.930164
260,29.728153
261,25.49197
262,29.096146
263,29.29503
264,28.033205
265,28.76544
266,25.78355
267,25.180435
268,26.703014
269,23.82885
270,25.697489
271,23.274164
272,21.458282
273,22.202833
274,25.201881
275,23.58132
276,22.918085
277,22.371225
278,22.17945
279,22.348574
280,23.816507
281,26.307432
282,24.980165
283,22.827168
284,27.280489
285,27.70983
286,22.735273
287,23.16845
288,24.182964
289,27.617958
290,26.16866
291,27.925968
292,23.623533
293,23.677145
294,26.283066
295,26.363712
296,26.868824
297,23.975843
298,25.582838
299,31.160952
300,30.0032
301,28.225414
302,27.853065
303,27.79602
304,28.291578
305,26.02868
306,28.876198
307,26.251093
308,28.725357
309,27.097054
310,22.80261
311,25.894358
312,23.381174
313,29.408556
314,24.617184
315,26.006384
316,29.892372
317,25.482151
318,27.933706
319,23.78709
320,25.224276
321,25.58332
322,25.274784
323,27.727036
324,27.706734
325,27.899776
326,29.98673
327,32.235237
328,30.354004
329,28.625875
330,27.968386
331,29.090462
332,27.487389
333,29.517508
334,27.364006
335,27.226583
336,28.9856
337,25.179539
338,25.529358
339,27.780827
340,27.560759
341,30.6316
342,28.027956
343,29.680634
344,28.247263
345,25.619802
346,21.976303
347,27.356554
348,35.04524
349,24.528015
350,29.945482
351,27.836641
352,24.727938
353,26.155813
354,23.038029
355,18.42066
356,27.425001
357,26.710669
358,29.438454
359,24.55481
360,19.417307
361,26.31961
362,26.200302
363,23.495426
364,25.155512
